"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
1,1,700,300,0,6528,148,6528,148,11925,5.00676,7.42568,517,6527
2,1,700,300,0,6528,148,6528,148,11934.3,4.70946,6.96622,585,6527
3,1,700,300,0,6528,148,6528,148,12138.5,4.56081,6.41892,551,6527
4,1,700,300,0,6528,148,6528,148,10906.4,4.61486,6.38514,501,6527
5,1,700,300,0,6528,148,6528,148,10386.1,4.64189,6.52027,560,6527
6,1,700,300,0,6528,148,6528,148,13044.3,5.10811,8.47973,542,6527
7,1,700,300,0,6528,148,6528,148,12433.7,4.57432,7.31757,627,6527
8,1,700,300,0,6528,148,6528,148,11216.5,5.05405,5.84459,521,6527
9,1,700,300,0,6528,148,6528,148,11935.6,4.81081,6.5,564,6527
10,1,700,300,0,6528,148,6528,148,11678.7,5.06081,7.17568,553,6527
11,1,700,300,0,6528,148,6528,148,12387.6,5.25676,7.65541,560,6527
12,1,700,300,0,6528,148,6528,148,13942.7,4.85135,9.02703,575,6527
13,1,700,300,0,6528,148,6528,148,13489.4,4.69595,8.35811,495,6527
14,1,700,300,0,6528,148,6528,148,11990.7,5.00676,6.5,490,6527
15,1,700,300,0,6528,148,6528,148,10198.3,5.0473,6.06757,553,6527
16,1,700,300,0,6528,148,6528,148,13098.2,4.64865,8.43919,596,6527
17,1,700,300,0,6528,148,6528,148,10590.9,4.68919,5.66892,598,6527
18,1,700,300,0,6528,148,6528,148,11345.8,4.43243,6.65541,651,6527
19,1,700,300,0,6528,148,6528,148,12956.7,4.52027,6.95946,595,6527
20,1,700,300,0,6528,148,6528,148,10930.9,5.18243,5.79054,517,6527
21,1,700,300,0,6528,148,6528,148,11353,4.5473,6.91216,527,6527
22,1,700,300,0,6528,148,6528,148,11227.5,4.75676,6.57432,474,6527
23,1,700,300,0,6528,148,6528,148,11265.2,4.97297,7.87162,512,6527
24,1,700,300,0,6528,148,6528,148,12479.8,4.89865,6.99324,576,6527
25,1,700,300,0,6528,148,6528,148,11454.6,5.08784,6.7973,503,6527
26,1,700,300,0,6528,148,6528,148,9651.35,4.58784,4.93919,629,6527
27,1,700,300,0,6528,148,6528,148,9822.94,4.68243,5.14189,560,6527
28,1,700,300,0,6528,148,6528,148,11727.2,4.90541,7.48649,545,6527
29,1,700,300,0,6528,148,6528,148,12170,4.97973,5.94595,579,6527
30,1,700,300,0,6528,148,6528,148,13237.3,4.61486,7.62838,610,6527
31,1,700,300,0,6528,148,6528,148,11647,4.62838,7.04054,593,6527
32,1,700,300,0,6528,148,6528,148,12564.3,4.72297,8.62838,537,6527
33,1,700,300,0,6528,148,6528,148,12839.8,4.46622,7.56081,596,6527
34,1,700,300,0,6528,148,6528,148,11457,4.7027,5.5473,546,6527
35,1,700,300,0,6528,148,6528,148,11012.4,5.20946,6.57432,518,6527
36,1,700,300,0,6528,148,6528,148,10898.6,5.18243,6.35811,437,6527
37,1,700,300,0,6528,148,6528,148,11854.7,4.47297,7.37838,504,6527
38,1,700,300,0,6528,148,6528,148,11217.1,4.77027,5.99324,508,6527
39,1,700,300,0,6528,148,6528,148,13384,5.24324,7.66216,557,6527
40,1,700,300,0,6528,148,6528,148,12588.9,4.52703,8.36486,499,6527
